timestamp,track_id,action,name,confidence,pose,face_image,person_image
2025-07-03 12:11:28,1,appear,Unknown,,,,
2025-07-03 12:11:28,1,identified,Tu3,0.48,Pitch Down + Roll Right,logs/faces/track_1_20250703_121128.jpg,logs/persons/track_1_20250703_121128.jpg
